ALUMINIUM HYDROXIDE,"Oral suspension: Aluminium hydroxide 250 mg/5 ml and Magnesium hydroxide 250 mg/5 ml; Tablets/Gel: may contain simethicone, and some contain algenic acid",Ulcer and non ulcer dyspepsia; gastro-oesophageal reflux.,"Hypophosphatemia, undiagnosed GI or rectal bleeding, appendicitis, porphyria, renal impairment (aluminium may accumulate), constipation, hepatic impairment, dehydration.",Tablets: 1-2 tablets chewed 4 times a day and at bed time or as required; Suspension: 5-10 ml 4 times daily between meals and at bedtime; Children (6-12 years): up to 5 ml 3 times daily,"Constipation, haemorrhoids, fissures, faecal impaction","Decreases absorption of digoxin, azithromycin, ciprofloxacin, norfloxacin, rifampicin, tetracycline, isoniazid Patient information: Take with water to decrease constipation"
VITAMIN B1 (THIAMINE),"Tablets: 50 mg, 100 mg, 250 mg and 500 mg, 20
mg (enteric coated); Injection: 100 mg/ml","Vitamin B1 deficiency, polyneuritis, cheilosis, beri-beri, Wernicke-
Korsakoff syndrome, pellagra, metabolic disorders","Hypersensitivity, pregnancy
Dosage schedule: Adult, oral (males) 1.2-1.5 mg, (females) 1.1 mg, (pregnancy)
1.4 mg, (breast feeding): 1.4 mg; child, oral-0.5-0.9 mg; infant, oral 0.2 mg","Adult, oral (males) 1.2-1.5 mg, (females) 1.1 mg, (pregnancy)
1.4 mg, (breast feeding): 1.4 mg; child, oral-0.5-0.9 mg; infant, oral 0.2 mg","Weakness, restlessness, pulmonary edema, hypotension,
collapse, angioneurotic edema, cyanosis, hemorrhage
Patient information: About the necessary foods to be included in diet: yeast,
beef, liver legumes, whole grains.",
VITAMIN B2 (RIBOFLAVIN),"Tablets: 5 mg, 10 mg, 25 mg, 50 mg, 100 mg and
250 mg","Vitamin B2 deficiency, polyneuritis, cheilosis, migraine and
prophylaxis","Hypersensitivity to vitamin B2, pregnancy.","Adult- 5-30 mg/day, child>12 yr: PO 3-10 mg/day then 0.6
mg/1000 calories ingested; Migraine porphylaxis: adult- 400 mg/day for
three months",Yellow discoloration of urine,"Decrease action of tetracyclines, may cause
false elevations of urinary catecholamines
Patient information: Urine may turn bright yellow; Avoid alcohol"
VITAMIN B3 (NIACIN),"Tablets: 50 mg, 100 mg, 250 mg and 500 mg
(niacin); Tablets: 100 mg and 500 mg (niacinamide)","Pellagra, hyperlipidemias (types 4, 5), peripheral vascular
disease","Pregnancy, breastfeeding, hypersensitivity,
peptic ulcer, hepatic disease, hemorrhage, severe hypotension, glaucoma,
coronary artery disease, diabetes mellitus, gout, schizophrenia. Assess
cardiac status, nutritional status, CNS symptoms, Niacin deficiency,
Hyperlipidemia","Pellagra: adult, up to 500 mg daily in divided doses.","Paraesthesia, headache, dizziness, anxiety, Postural
hypotension, vasovagal attacks, dysrhythmias, vasodilation, blurred vision,
ptosis, jaundice, hepatotoxicity, hepatitis, glycosuria,","When combined with statins, either increases
the toxicity of the other: increase risk of rhabdomyolysis. Cholestyramine,
erythromycin, insulin decrease the blood level of niacin.
Patient information: Flushing and increase in feelings of warmth will occur
several hours after taking medicine; remain recumbent if postural hypotension
occurs; abstain from alcohol if product is prescribed for hyperlipidemia;
avoid sunlight if lesions are present"
VITAMIN B6 (PYRIDOXINE),"Tablets: 10 mg, 25 mg, 50 mg and 100 mg; 100
mg (extended release); Injection: 100 mg/ml; Capsules: 150 mg (extended
release)","Vitamin B6 deficiency, seizures, isoniazid therapy, oral
contraceptives, alcoholic polyneuritis","Pregnancy, breastfeeding, children,
Parkinson’s disease, patients taking levodopa should avoid supplemental
vitamins with >5 mg pyridoxine.","• Deficiency states: oral, 25–50 mg up to 3 times daily;
• Isoniazid neuropathy, prophylaxis: oral, 10 mg daily;
• Isoniazid neuropathy treatment: oral, 50 mg 3 times daily;
• Sideroblastic anemia: oral, 100–400 mg daily in divided doses","Paresthesia, flushing, warmth, lethargy, pain at injected
site.","Decrease the effects of levodopa
Patient information: Avoid vitamin supplements unless directed by prescriber;
increase meat, bananas, potatoes, lima beans, whole grains, and cereals in
diet"
VITAMIN B9 (FOLIC ACID),"Tablets: 0.1 mg, 0.4 mg, 0.8 mg, 1 mg and 5 mg;
Injection: 5 mg/ml and 10 mg/ml","Megaloblastic or macrocytic anemia caused by folic acid
deficiency; hepatic disease, alcoholism, hemolysis, intestinal obstruction,
pregnancy to reduce risk for neural tube defects","Pregnancy, anemia other than
megaloblastic/macrocytic anemia, vit B12 deficiency anemia, uncorrected
pernicious anemia.","• Treatment of folate-deficiency, megaloblastic anemia: oral, adult, 5 mg
daily for 4 months (in pregnancy continued to term); up to 15 mg daily may
be necessary in malabsorption states;
• Prevention of first occurrence of neural tube defects: oral, adult, 400–
500 micrograms daily before conception and during the first 12 weeks of
pregnancy;
• Prevention of recurrence of neural tube defects: oral, adult, 5 mg daily from
at least 4 weeks before conception until 12th week of pregnancy.","Confusion, depression, excitability, irritability, anorexia,
nausea, pruritus, rash, erythema, bronchospasm, anaphylaxis","Folic acid by estrogen, hydantoins,
carbamazepine, glucocorticoids, decreased levels of methotrexate,
sulfonamides, sulfasalazine, trimethoprim
Patient information: Urine will turn bright yellow; alter nutrition to include
high folic acids"
VITAMIN B12 (COBALAMIN),"Injection: 1 mg/ml (cyanocobalamine), 1 mg/ml
(hydroxycobalamine); Tablets: 50 μg","Vitamin B12 deficiency states, malabsorbtion, pernicious anemia,
stomach or lower ileal resection; macrocytic anemia","Hypersensitivity to Vitamin B12, uremia,
folate deficiency, concurrent infections, iron deficiency, renal dysfunction.
Parenteral products should be used when deficiency is due to malabsorption.","• Vitamin B12 deficiency of dietary origin: oral- adult, 50-150 μg /day
(cyanocobalamin), child, 25-50 μg, twice daily; intramuscular injection-
initially 1 mg repeated 10 times at intervals of 2-3 days, maintenance 1 mg
every month;
• Pernicious anaemia and other macrocytic anaemias without neurological
involvement: intramuscular injection, initially 1 mg (hydroxocobalamin)
repeated 5 times at intervals of 2 days, then 1 mg every 3 months
Parenteral preparation should be used until hematologic remission develops
and then should be switched to oral preparations","Dizziness, memory impairment, restlessness, hypertension,
chest pain, tachycardia, dry throat, eye redness, diarrhea, dyspepsia,
thrombocytosis, hypokalemia, pain at injection site","Chloramphenicol and antineoplastics
may decrease hematologic response to B12; Colchicine, aminoglycosides,
aminosalicylic acid, cimetidine, excess intake of alcohol or vitamin C may
decrease oral absorbtion or effectiveness of B12
Patient information: Patient should be encouraged to comply with diet
recommendations of heath care professional."
VITAMIN C (ASCORBIC ACID),Tablet: 50 mg,"Vitamin C deficiency, scurvy, delayed wound, bone healing,
chronic disease; urine acidification; before gastrectomy; dietary supplement","Tartrazine, sulfite sensitivity; glucose-6-
phosphate deficiency. Pregnancy, gout, diabetes, renal calculi.","• Prophylaxis of scurvy: oral, 25–75 mg daily;
• Treatment of scurvy: oral, not less than 250 mg daily in divided doses
Patient information: Addition of citrus fruits; avoid smoking","Headache, insomnia, dizziness, fatigue, flushing, nausea,
vomiting, diarrhea, anorexia, heartburn, cramps, polyuria, hemolysis",
ACETAZOLAMIDE,"Tablet: 125 mg and 250 mg; Powder for injection:
500 mg; Extended release capsule: 500 mg; Eye drops: 2%","Open-angle glaucoma, angle-closure glaucoma (preoperatively
if surgery delayed), secondary glaucoma, acute altitude sickness, CHF, drug
induced edema","Hypersensitivity to sulfonamide, severe renal
disease, hepatic disease, electrolyte imbalance (hyponatremia/hypokalemia),
hyperchloremic acidosis, addison’s disease, adrenocortical deficiency,
cirrhosis, long-term use in non-congestive angle-closure glaucoma. Not
recommended in pregnancy (C) and lactation: , hypercalciuria, diabetes,
respiratory acidosis, pulmonary obstruction, emphysema and COPD,
concomitant high dose aspirin.","• Angle closure glaucoma: per oral/intravenous- 250 mg 24hr and 250 mg BD
for short term therapy.
• Open-Angle glaucoma: per oral/intravenous – 250 mg/day in divided doses
for amounts of more than 250 mg or 500 mg BD (max 1 g/day)","Confusion, convulsions, cholestatic jaundice, drowsiness,
malaise, metallic taste, metabolic acidosis","Increases action of amphetamines, phenytoin,
procainamide, quinidine, anticholinergic; increases toxicity of salicylate and
cyclosporine; causes cardiac toxicity if hypokalemia develops with arsenic
trioxide, cardiac glycoside.
Patient’s information: May impair alertness and/or physical coordination."
AMILORIDE HYDROCHLORIDE,Tablet: 5 mg,"Oedema, CHF/HTN/Thiazide induced hypokalemia","Hyperkalaemia, Addison’s Disease, Renal
failure (if CrCL<10), Anuria, Diabetic nephropathy. Pregnancy, breast-feeding,
children, elderly, dehydration. Should be used with caution in patients with
diabetes mellitus, mild renal impairment.","• Oedema (used alone): per oral: initially 10 mg daily in 1 or 2 divided doses,
adjusted according to response (maximum 20 mg daily).
• Oedema (in combination with a thiazide or a loop diuretic): per oral: initially
5 mg daily, increasing to 10 mg daily if necessary (maximum 20 mg daily).
• CHF/HTN/Thiazide induced hypokalemia: 5-10 mg/day PO q day or divided
every 12 hour
• Renal impairment: If CrCl 10-50 ml/min: 50% normal dose; If CrCl<10 ml/
minute: not recommended","Hyponatremia, postural hypotension, diarrhoea, loss of
appetite, dizziness.","When combined with lithium: increases toxicity
Patient information: Take with food. To rise slowly from sitting to standing
to avoid orthostatic hypotension.To avoid driving and using machineries if
dizziness occurs. To avoid potassium-rich food."
CHLORTHALIDONE,"Tablet: 15 mg, 25 mg, 50 mg and 100 mg","Hypertension, ascites due to cirrhosis in stable patients (under
close supervision), oedema due to nephrotic syndrome, mild to moderate
chronic heart failure, nephrogenic diabetes insipidus, partial pituitary
diabetes insipidus.","Hypersensitivity to it or sulfonamides,
anuria. Pregnancy (B/D possible hazards include fetal or neonatal jaundice,
thrombocytopenia). Lactation not recommended.","• Hypertension: 12.5- 25 mg daily; per oral, dose to be taken in the morning,
increase if necessary to 50 mg daily.
• Edema: 50-100 mg/day PO or 100 mg PO every other day; not to exceed
200 mg/day.
• Mild to moderate heart failure: 25–50 mg daily; per oral, dose to be taken
in the morning, then increased if necessary to 100–200 mg daily, reduce to
lowest effective dose for maintenance.
• Nephrogenic diabetes insipidus |Partial pituitary diabetes insipidus:
Initially 100 mg per oral twice daily then reduced to 50 mg daily.","Hypotension, vasculitis, photosensitivity, phototoxicity,
electrolyte abnormalities, hyperglycemia, hyperuricemia, constipation,
diarrhea, loss of appetite, nausea, vomiting, spasticity, restlessness, dizziness,
headache, paresthesia, cardiac dysrhythmia (rare), pancreatitis (rare)","Aminolevulinic acid oral/topical +
Chlorthalidone-increases toxicity by pharmacodynamic synergism.
Amisulpride+Chlorthalidone:- Pharmacodynamic synergism, risk of
hypokalemia. Cisapride+Chlorthalidone: Contraindicated .Risk of prolonged
QTc interval. Tretinoin topical+ Chlorthalidone: Increased phototoxicity.
Avoid concurrent use with lithium (lithium dose reduction by 50% may be
necessary).
Patient information: Administered in the morning with food. Report to
treating doctor if dizziness and other mentioned side effects occurs."
EPLERENONE,Tablet: 25 mg and 50 mg,"HTN, heart failure post MI, renal impairment, hepatic impairment","Hypersensitivity. Serum potassium >5.5
mEq/L at initiation. Renal impairment if CrCl <50ml/min or Serum creatinine
>2 mg/dl in males or >1.8 mg/dl in females. Concomitant use with strong
CYP3A inhibitors. Pregnancy(B). Lactation –unknown. Hyperkalemia,
liver dysfunction, metabolic or respiratory acidosis, renal impairment,
hypersensitivity to spironolactone. Risk of hyperkalemia is higher in patients
with impaired renal function, proteinuria, diabetes and those concomitantly
treated with ACEIs and ARBs, NSAIDS and moderate CYP3A inhibitors.","• HTN: Initial 50 mg PO qDay; may increase to 50 mg PO every 12 hour; may
take up to four weeks for full therapeutic response; hyperkalemia may134
NNF 2018
occur with doses >100mg/day
• Heart failure post MI: Initial 25 mg PO qDay; may titrate to maximum of 50
mg once daily within 4 weeks as tolerated (Dose adjusted may be required
based on potassium levels).","Hyperkalemia, increased risk of hyperkalemia in presence
of renal dysfunction, dizziness, fatigue, albuminuria, abdominal pain","Itraconazole and Nefazodone and Saquinavir:
will increase the level or effect of eplerenone by affecting hepatic/intestinal
enzyme CYP3A4 metabolism. May increase the risk of hyperkalemia and
hypotension.
Patient’s information: Report to your treating doctor if awareness of heart
beat (palpitation) occurs and all other mentioned side effects occurs. Do not
use other medications without consulting registered doctor."
FUROSEMIDE,"Injection: 10 mg/ml in 2 ml ampoule; Tablet: 20
mg and 40 mg","Edema, heart failure, hypertension resistant to thiazide, fluid
overload in AKI/CKD, Acute Pulmonary edema/hypertensive crisis/increased
intracranial pressure","Renal failure with anuria, comatose
or precomatose states associated with liver cirrhosis, dehydration,
hyperkalemia, hypovolemia, severe hyponatremia. Pregnancy(C).Lactation:
drug excreted into breast milk; use with caution; may inhibit lactation. In
patients with liver cirrhosis, hypotension, elderly (reduce dose), oliguria,
renal and hepatic impairment and prostatic enlargement.","• Edema: initially 40 mg in the morning, maintenance 20-40 mg daily,
increased in resistant edema to 80 mg daily; child 1-3 mg/kg daily. Refractory
CHF may necessitate larger doses.
• Hypertension resistant: 20-80 mg PO divided every 12 hour
• Acute Pulmonary edema/Hypertensive crisis/Increased intracranial
pressure: 0.5 mg/kg (or 40 mg) IV over 1-2 minutes; may be increased to 80
mg if there is no adequate response within 1 hour; not to exceed 160-200
mg/dose.
• Hyperkalemia in Advanced Cardiac Life Support (ACLS): 40-80 mg IV.
• Hypermagnesemia in ACLS: 20-40 mg IV q3-4hr PRN.","Hypokalemia, hyponatremia, tinnitus, reversible or
permanent hearing impairment, rashes, loss of appetite, vomiting, diarrhea,
constipation, hyperuricemia gout.","Patients receiving cardiac glycoside,
furosemide predisposes the patient to digitalis toxicity principally due to
hypokalemia. The hypotensive effects enhanced when given concomitantly
with ACE inhibitors, alcohol, alpha blockers, general anesthetic agents,
angiotensin-II receptor antagonists, beta blockers and calcium channel
blockers. Concomitant administration of furosemide and aminoglycosides
may result in increased incidence of ototoxicity and nephrotoxicity. Cisapride
+ Furosemide:-C/I; Risk of prolonged QTc interval.
Patient information: To take high potassium diet or potassium replacement
with drug as hypokalemia is seen. Rise slowly from lying or sitting position
because orthostatic hypotension may occur, to take with food or milk for GI
symptoms, to use sunscreen or protective clothing to prevent photosensitivity."
HYDROCHLORTHIAZIDE,"Tablet: 12.5 mg, 25 mg and 50 mg","Edema associated with mild congestive heart failure, hepatic
cirrhosis, nephritic syndrome, chronic renal failure, acute glomerulonephritis,
hypertension, nephrogenic diabetes mellitus, calcium nephrolithiasis.","Hypersensitivity, anuria, hyponatremia,
hypercalcemic states (hyperparathyroidism, malignancies), hypokalemia,
hyperuricemia, contraindicated in patients hypersensitive to sulfonamide,
polymorphic ventricular tachycardia. Pregnancy(B), Lactation: drug excreted
in breast milk. Use with caution in gout, elderly, may unmask latent diabetes
mellitus, glucose intolerance, history of MI, DM, fluid or electrolyte imbalance,
hypercholesterolemia, SLE.","• Hypertension: 12.5 mg daily per oral (can be increased up to 25-50mg)
administered in morning or in twice daily dose (second dose should be
before 6pm)
• Edema: 25-50 mg per oral initially, maintenance dose 25-50 mg on alternate
days.","Anaphylaxis, anorexia, confusion, dizziness, extracellular
fluid volume depletion, hypotension, hypokalemia, hyponatremia,
hyperglycemia, hypercalcemia, hyperuricemia, hyperlipidemia, erectile
dysfunction, CNS and GI disorders are less common or rare, hepatotoxicity,
cholesterol.","Amphotericin B and Corticosteroids increase
the risk of hypokalemia, Torsade’s de pointes and fatal ventricular fibrillation
when used along with Quinidine. Decreased effects of anticoagulants,
uricosuria drugs, sulfonyl ureas and increased effects of loop diuretics,
anesthetics, digitalis, lithium when concomitantly used.
Patient’s information: To rise slowly from lying or sitting position. To report if
any signs of electrolyte imbalance, confusion occurs."
INDAPAMIDE,"Tablet: 2.5 mg (immediate release), 1.5 mg
(sustained release)","Hypertension, congestive heart failure","Avoid in severe hepatic impairment, renal
impairment. Use caution in acute porphyria, hypotension, diabetes mellitus,
hyperuricemia, gout, SLE, hepatic and/or renal impairment. Pregnancy
(B). Breast feeding: avoid. Efficacy and safety of the drug has not been
established in children","• Essential hypertension: oral (using immediate-release), adult: 2.5 mg daily,
dose to be taken in the morning
• oral (using sustained release), adult: 1.5 mg daily, may increase at 4 week
interval up to 5 mg, dose to be taken in the morning.
• Congestive heart failure: oral (using immediate-release), adult: 2.5 mg daily,
dose to be taken in the morning","Skin rash, hypokalemia, anorexia, diarrhea, orthostatic
hypotension, palpitation.","Avoid if hypersensitivity to sulfonamides. Avoid
concurrent use with arrhythmogenic drugs such as amisulpride, amitriptyline,
artemether/ lumefantrine, astemizole, Chlorpromazine, cisapride,
clarithromycin, disopyramide, desimipramine, fluconazole, ketoconazole,
itraconazole, nilotinib, octreotide, haloperidol. Avoid use with other diuretics
due to risk of hypokalemia."
METOLAZONE,"Tablet: 2.5 mg, 5 mg and 10 mg","Hypertension, Edema","Hypersensitivity to it or sulfonamides.
Anuria, Hepatic coma or precoma. Acute porphyrias. Pregnancy (drug crosses
placenta; hypokalemia, hypoglycemia, jaundice, thrombocytopenia and
hyponatremia reported in fetus following maternal use of thaizide diuretics)
Lactation: The amount present in milk is too small to be harmful. Large doses
may suppress lactation. Use with caution in DM, hypercholesterolemia,
hyperuricemia or gout, hypotension, SLE, previously sympathectomy, liver
disease.","• Oedema: 5–10 mg daily, dose to be taken in the morning, dose may be
increase in resistant oedema; increased if necessary to 20 mg daily;
maximum 80 mg per day.
• Hypertension: initially 5 mg daily, dose to be taken in the morning;
maintenance 5 mg once daily on alternate days","Chest pain, chills, dizziness, drowsiness, electrolyte
abnormalities, glucosuria, hyperuricemia, hepatotoxicity","Aminolevulinic acid oral/topical + Metolazone-
increases toxicity. Amisulpride+Metolazone, risk of hypokalemia.
Cisapride+Metolazone: Contraindicated .Risk of prolonged QTc interval.
Tretinoin topical+ Metolazone: Increased phototoxicity.
Patient’s information: Tablets may be crushed and mixed with water
immediately before use."
SPIRONOLACTONE,"Tablet: 25 mg, 50 mg and 100 mg","Edema and ascites in cirrhosis of liver, nephrotic syndrome,
congestive heart failure, primary hyperaldosteronism.","Hyperkalemia, hyponatremia, addison
disease,moderate renal impairment. Elderly (reduce dose), diabetes mellitus,
renal and hepatic impairment, pregnancy, breastfeeding. Spironolactone
should be cautiously used when aforementioned drugs are to be used
concomitantly. Serum level of Blood Urea Nitrogen (BUN) and K+ should be
monitored regularly.","• Edema: In adult:100-200 mg per oral daily, increased up to 400 mg daily in
resistant edema; maintenance dose 25-200 mg daily. (child) 1-3 mg/kg daily
in 1- 2 divided doses.
• Primary hyperaldosteronism: per oral (adult) 400 mg daily for 3-4 weeks,
preoperative management: 100-400 mg daily; if not suitable for surgery,
lowest effective dose is used as maintenance therapy.
• Adjunct in severe heart failure: per oral (adult) usually 25 mg daily.","Hyperkalemia, metabolic acidosis (in cirrhotic patients),
gynecomastia, impotence, decreased libido, hirsutism, menstrual irregularity,
diarrhea, gastritis, gastric bleeding, breast cancer risk is increased in chronic
use.","Hepatic CYP3A4 isoform inhibitors like
macrolide antibiotics, (clarithromycin), azole antifungals (ketoconazole,
itraconazole), protease inhibitors(indinavir,ritonavir) may induce dangerous
hyperkalemia by inhibiting spironolactone catabolism.
Patient information: Avoid foods with high potassium content, oranges,
bananas, salty food."
TORSEMIDE,"Tablet: 10 mg, 20 mg and 100 mg","Congestive heart failure, Chronic renal failure, Hepatic cirrhosis,Hypertension.","Known hypersensitivity to torsemide or
to povidone, Anuria, Hepatic Coma. Pregnancy & Lactation- No available
data. Use with caution in DM, fluid or electrolyte imbalance (hypokalemia,
hyponatremia), hyperglycemia, hyperlipidemia, hyperuricemia or gout, severe
liver disease with cirrhosis and ascites.","• CHF: 10-20 mg PO/IV mg once daily initially, doubled until desired diuretic
effect is achieved, individual dose not to exceed 200 mg.
• CRF: 20 mg PO/IV OD initially; doubles until desired diuretic effect is
achieved; individual dose not to exceed 200 mg.
• Hepatic cirrhosis: 5-10 mg PO/IV once daily initially with aldosterone
antagonist or potassium sparing diuretic; individual dose not to exceed 40
mg.
• Hypertension: 2.5-5 mg/day PO initially; increased to 10 mg/day PO in 4-6
weeks PRN","Headache, Electrolyte imbalance, Dizziness, Rhinitis,
Constipation, Cough, Diarrhoea, Dyspepsia
Patient’s information: Rise slowly from lying or sitting position. Limit alcohol
use. Take the medication with milk or food to limit GI symptoms. Use
sunscreen, protective clothing to prevent sunburn.",
TRIAMTERENE,Tablet: 50 mg,"Edema, potassium conservation with thiazides and loop
diuretics.","Addison’s disease, anuria, hyperkalemia.
Diabetic mellitus, elderly, gout, may causes blue fluorescence of urine.
Regular monitoring of blood K+ to check for hyperkalemia","Initially 15-250 mg daily, reducing to alternate days after 1
week, taken in divided dose after breakfast and lunch, lower initial dose when
given with other diuretics.","Hyperkalemia, nausea, vomiting, diarrhea, muscle cramps,
dizziness","When other K+ sparing diuretics are
concomitantly used dangerous hyperkalemia may develop.
Patient’s information: Avoid using high K+ diet like avocado, banana, dried
apricots etc."
DESMOPRESSIN,Tablet: 100 μg and 200 μg; Injection: 4 μg,"Diabetes insipidus, primary nocturnal enuresis, post-operative
polyuria or polydipsia, nocturia associated with multiple sclerosis.","Hyponatremia. In cardiac insufficiency,
renal impairment, conditions treated with diuretics, polydipsia in alcohol
dependence, psychogenic polydipsia. Asthma, cardiovascular disease,
cystic fibrosis, heart failure. If hyponatremia occurs therapy may be hold or
discontinued.","• Diabetes insipidus: adult and child, initially 300 μg per oral daily (in three
divided doses); maintenance: 300-600 μg daily in three divided doses;
range 0.2-1.2 mg daily. By injection in diabetes insipidus, for diagnosis
(subcutaneous or intramuscular adult and child, 2 μg; for treatment
(subcutaneous, intramuscular or intravenous) adult 1-4 μg daily, child 400
ng
• Primary nocturnal enuresis: Adult and child over 5 years: 200 μg at bedtime,
increased to 400 μg if lower dose not effective.
• Postoperative polyuria/polydipsia: adjust dose according to urine
osmolality.
• Renal function testing (subcutaneous or intramuscular): adult and child:
2 μg.","fluid retention, headache, nausea, vomiting, epistaxis,
allergic reaction.","Chlorpropamide/dobutamine increases effects
of desmopressin by pharmacodynamic synergism.
Patient’s information: Patients being treated for primary nocturnal enuresis
should avoid fluid overload and stop taking desmopressin during an episode
of vomiting or diarrhoea. Do not take excessive fluid while on therapy."
NITROFURANTOIN,Tablet: 50 mg and 100 mg,"UTI, cystitis, pyelonephritis, and postoperative infection of
urinary tract.","Hypersensitivity, infant under 1-month,
impaired renal function with estimated GFR <30 ml/min, pregnancy at term
(38-42 weeks), hepatic dysfunction. Gastritis patients, gastrointestinal
disease, diabetes. Pregnancy (B). Crosses placenta. Lactation: enters breast
milk; discontinue drug or do not nurse. Avoid long term use in elderly.","Adult 50-100 mg per oral tid/qid. Child: 3-6 mg/kg body
weight per oral in four divided doses.","Headache, dizziness, peripheral neuritis and neurological
effects, chest pain, leukopenia, blood dyscrasias, hemolytic anemia, GI
intolerance, nausea, diarrheas, anorexia","Probenecid increases levels of nitrofurantoin
Increases antagonistic effect of norfloxacin.
Patient’s information: Suggested to take medicine after meal to avoid gastric
irritation. Color of the urine can be brownish, not to worry. Tablets should
not be crushed. Protect from light."
BETHANECHOL,"Tablet: 5 mg, 10 mg, 25 mg and 50 mg",Urinary retention,"Hypersensitivity,
hyperthyroidism,
peptic ulcer, asthma, bradycardia, hypotension, AV Conduction defects,
CAD vasomotor instability, vagotonia, epilepsy, parkinsonism, obstructive
pulmonary disease, HTN. GI disturbances or anastomosis. Pregnancy (C),
Lactation: decision should be made whether to discontinue nursing or to
discontinue drug.","Urinary retention: 10-50 mg PO 3-4 times daily. Some
patients may require doses of 50-100 mg PO twice daily. Take 1 hour before
or 2 hours after meal.","Abdominal cramps, belching, bronchial constriction,
diarrhoea, flushing, headache, urinary urgency","Ambenonium: It increases effects of bethanechol
by pharmacodynamic synergism. Amitriptyline: Bethanechol increases
and amitriptyline decreases cholinergic cholinergic effects/transmission.
Flavoxate/ Solifenacin/Ipratropium: Bethanechol increases and flavoxate/
solifenacin/ Ipratropium decreases cholinergic effects/transmission.
Patient’s information: Take 1 hour before meal or 2 hour after meals"
FLAVOXATE,Tablet: 100 mg,Overactive bladder (OAB),"Obstructive uropathy, pyloric/duodenal
obstruction, ileus, GI bleeding, achalasia. Pregnancy (B). Lactation: not
known. Use caution in patients with glaucoma. May impair ability to perform
hazardous tasks. May cause ocular disturbances; advice patients of potential
effects.","OAB (indicated for dysuria, increased urinary frequency/
incontinence, nocturia, suprapubic pain, urinary incontinence, urinary tract
irritation, urinary urgency): 100-200 mg PO q6-8hr","Abdominal pain, Blurred vision, Confusion, Constipation,
Distubance in ocular accommodation, Drowsiness, Dry mouth, Dysuria,
Increased ocular tension, Vertigo.","Pramlintide+Flavoxate: either increases effects
of the other by pharmacodynamic synergism. Contraindicated. Synergistic
inhibition of GI motility. Secretin: Flavoxate decreases effects of secretin
by pharmacodynamic antagonism. (avoid or use alternative drug). Monitor
closely while using amilsulpride/amitriptyline/Clozapine/Chlorpromazine.
Patient’s information: Vertigo can occur."
MIRABEGRON,Tablet: 25 mg and 50 mg,Overactive Bladder (OAB),"Hypersensitivity, Pregnancy (C), Lactation:
unknown, discontinue nursing or the drug. May increase BP, Urinary
retention may occur with bladder outlet obstruction or with concomitant
antimuscarinic therapy. Angioedema of the face, lips, tongue and/or larynx
reported.","Indicated for OAB with symptoms of urge urinary
incontinence, urgency and urinary frequency: 25 mg PO qDay. 25 mg dose is
typically effective within 8 weeks. May increase to 50 mg PO qDay based on
individual efficacy and tolerability. Dosage modification in renal impairment:
Severe (Crcl-15-29ml/min) not to exceed 25 mg/day. ESRD-not recommended.","Elevated BP occurring predominantly in patients with
preexisting hypertension, dry mouth, nasopharyngitis, UTI, headache,
constipation, cystitis, back pain, arthralgia, Steven Johnson syndrome.","Monitor closely: while using amitriptyline/
codeine/metoprolol/tramadol- Mirabegron will increase the level or effect
of amitriptyline/codeine/metoprolol/tramadol, by inhibiting hepatic enzyme
CYP2D6 metabolism. Patient’s information: May take with or without food. Swallow whole with
water, do not chew, divide or crush tablet."
OXYBUTYNIN,"Tablet: 5 mg; Tablet extended-release: 5 mg, 10
mg and 15 mg; Syrup: 5 mg/ml",Overactive bladder (OAB),"Hypersensitivity, gastric or urinary
obstruction or retention, paralytic ileus, severe ulcerative colitis, uncontrolled
narrow –angle glaucoma. Use with caution in : Myasthenia gravis, tachycardia
secondary to cardiac insufficiency or thyroxicosis. Pregnancy/Lactation: NA.
In controlled angle closure glaucoma; mild to moderate ulcerative colitis,
hyperthyroidism; partial obstructive uropathy; benign prostatic hyperplasia.
hepatic and renal impairment. May aggravate symptoms of decreased
gastrointestinal motility in patients with autonomic neuropathy.","• OAB: Relief of symptoms (e.g. urge incontinence,frequency, urgency)
in patients with uninhibited neurogenic or reflex neurogenic bladder.
Immediate release: 5 mg PO twice/three times daily; not to exceed 5 mg PO
four times daily. Extended release: 5-10 mg/day PO; may be increased by 5
mg/day at weekly intervals; not to exceed 30 mg/day. Pediatric: Tab 5 mg,
Syrup: 5 mg/ml
• Detrusor overactivity: Bladder overactivity associated with a neurologic
condition (e.g. Spina bifida) ≥5 yrs (immediate release):5 mg PO every 12
hour;may be increased to 5 mg POq8hr. ≥ 6 yrs (Extended release):5 mg/
day PO initially;may be increased by 5 mg/day at weekly intervals; not to
exceed 20 mg/day.","Dry mouth, constipation, somnolence, nausea","Potassium chloride + oxybutynin. Avoid or
use alternate drug. Patients using drugs with extensive anti cholinergic
effects should avoid concomitant use with solid oral dosage forms of
potassium chloride. May use effervescent potassium preparations as
alternatives. Pramlintide + oxybutynin: Either increases effects of the other
by pharmacodynamic synergism. Contraindicated. Synergistic inhibition
of GI motility. Secretin: Oxybutynin decreases effects of secretin by
pharmacodynamic antagonism.
Patient’s information: May cause memory loss. Contact doctor if symptoms
do not improve with 2 weeks of initial use."
